id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31,Entire home/apt in SoHo,1008,Cynthia,Manhattan,SoHo,40.729198,-73.967813,Entire home/apt,213,14,9,2024-08-29,9.0,30,293
32,Entire home/apt in Upper East Side,1008,Cynthia,Manhattan,Upper East Side,40.753436,-73.989751,Entire home/apt,399,30,5,2024-08-03,5.0,30,168
33,Entire home/apt in Midtown,1008,Cynthia,Manhattan,Midtown,40.731041,-73.993738,Entire home/apt,392,1,13,2024-07-29,11.47,30,125
34,Entire home/apt in SoHo,1008,Cynthia,Manhattan,SoHo,40.746512,-73.96553,Entire home/apt,430,2,7,2024-08-22,7.0,30,111
35,Entire home/apt in Tribeca,1008,Cynthia,Manhattan,Tribeca,40.722635,-74.004862,Entire home/apt,299,14,45,2024-08-20,45.0,30,47
36,Entire home/apt in Midtown,1008,Cynthia,Manhattan,Midtown,40.825891,-74.028233,Entire home/apt,290,1,6,2024-07-14,3.67,30,309
37,Entire home/apt in Tribeca,1008,Cynthia,Manhattan,Tribeca,40.70607,-73.957134,Entire home/apt,278,1,28,2024-08-25,28.0,30,46
38,Entire home/apt in Battery Park,1008,Cynthia,Manhattan,Battery Park,40.737671,-73.957456,Entire home/apt,261,3,29,2024-08-12,29.0,30,358
39,Private room in Greenwich Village,1008,Cynthia,Manhattan,Greenwich Village,40.756214,-73.934378,Private room,169,14,129,2024-08-23,129.0,30,97
40,Private room in Midtown,1008,Cynthia,Manhattan,Midtown,40.776551,-74.030674,Private room,151,1,68,2024-08-20,68.0,30,36
41,Private room in SoHo,1009,James,Manhattan,SoHo,40.7701,-73.988701,Private room,95,1,3,2024-06-23,1.29,1,133
42,Entire home/apt in Lower East Side,1010,Elizabeth,Manhattan,Lower East Side,40.768754,-73.978521,Entire home/apt,320,3,0,,0.0,1,338
43,Entire home/apt in Upper East Side,1011,Olivia,Manhattan,Upper East Side,40.753135,-73.992504,Entire home/apt,331,2,16,2024-08-07,16.0,1,163
44,Entire home/apt in Upper East Side,1012,Samantha,Manhattan,Upper East Side,40.760187,-73.969772,Entire home/apt,200,1,13,2024-08-16,13.0,1,211
45,Entire home/apt in Greenwich Village,1013,Steven,Manhattan,Greenwich Village,40.726737,-73.989191,Entire home/apt,185,3,8,2024-06-07,2.79,1,250
46,Private room in Upper West Side,1014,Ryan,Manhattan,Upper West Side,40.779032,-73.984861,Private room,31,7,28,2024-08-31,28.0,3,206
47,Private room in Greenwich Village,1014,Ryan,Manhattan,Greenwich Village,40.729861,-73.984233,Private room,68,1,34,2024-08-27,34.0,3,231
48,Entire home/apt in Tribeca,1014,Ryan,Manhattan,Tribeca,40.723352,-73.94779,Entire home/apt,514,1,0,,0.0,3,77
49,Private room in Tribeca,1015,Emma,Manhattan,Tribeca,40.722198,-73.965075,Private room,69,1,29,2024-08-28,29.0,1,226
50,Entire home/apt in Upper West Side,1016,Kimberly,Manhattan,Upper West Side,40.73277,-74.013889,Entire home/apt,379,1,7,2024-07-10,3.96,8,342
51,Private room in Chelsea,1016,Kimberly,Manhattan,Chelsea,40.810981,-73.9812,Private room,164,1,18,2024-08-16,18.0,8,207
52,Private room in Greenwich Village,1016,Kimberly,Manhattan,Greenwich Village,40.804958,-73.93218,Private room,182,1,24,2024-08-19,24.0,8,352
53,Private room in Battery Park,1016,Kimberly,Manhattan,Battery Park,40.758334,-73.98223,Private room,91,3,15,2024-08-19,15.0,8,313
54,Entire home/apt in Chelsea,1016,Kimberly,Manhattan,Chelsea,40.710549,-74.027613,Entire home/apt,379,5,23,2024-08-23,23.0,8,249
55,Entire home/apt in Tribeca,1016,Kimberly,Manhattan,Tribeca,40.773997,-74.027872,Entire home/apt,180,2,31,2024-06-18,12.4,8,105
56,Private room in Harlem,1016,Kimberly,Manhattan,Harlem,40.727804,-74.0435,Private room,54,5,1,2024-06-10,0.36,8,119
57,Hotel room in Midtown,1016,Kimberly,Manhattan,Midtown,40.731394,-73.99975,Hotel room,354,1,11,2024-08-25,11.0,8,56
58,Private room in Tribeca,1017,James,Manhattan,Tribeca,40.791476,-74.02675,Private room,117,1,24,2024-07-12,14.12,1,145
59,Hotel room in Upper West Side,1018,Jason,Manhattan,Upper West Side,40.751561,-73.925065,Hotel room,389,2,9,2024-08-13,9.0,1,147
60,Entire home/apt in Upper East Side,1019,Paul,Manhattan,Upper East Side,40.75537,-74.028672,Entire home/apt,262,14,29,2024-08-18,29.0,2,201
61,Entire home/apt in Upper East Side,1019,Paul,Manhattan,Upper East Side,40.781496,-73.991276,Entire home/apt,209,1,37,2024-08-31,37.0,2,31
62,Entire home/apt in Battery Park,1020,Stephanie,Manhattan,Battery Park,40.771827,-73.999388,Entire home/apt,373,2,2,2024-07-19,1.36,1,121
63,Private room in Battery Park,1021,Brittany,Manhattan,Battery Park,40.741642,-73.931074,Private room,15,2,14,2024-07-29,12.35,1,307
64,Entire home/apt in Chelsea,1022,Olivia,Manhattan,Chelsea,40.73769,-73.987811,Entire home/apt,217,1,0,,0.0,1,338
65,Entire home/apt in Midtown,1023,Jason,Manhattan,Midtown,40.706851,-73.965457,Entire home/apt,194,2,12,2024-08-18,12.0,2,311
66,Entire home/apt in Greenwich Village,1023,Jason,Manhattan,Greenwich Village,40.779014,-73.991416,Entire home/apt,268,14,27,2024-08-15,27.0,2,178
67,Private room in Tribeca,1024,Edward,Manhattan,Tribeca,40.759003,-73.962027,Private room,225,5,2,2024-05-02,0.49,2,56
68,Entire home/apt in Battery Park,1024,Edward,Manhattan,Battery Park,40.759352,-74.02371,Entire home/apt,243,14,19,2024-07-29,16.76,2,323
69,Entire home/apt in Midtown,1025,Matthew,Manhattan,Midtown,40.777348,-73.996038,Entire home/apt,128,7,46,2024-08-23,46.0,1,344
70,Private room in Tribeca,1026,Michelle,Manhattan,Tribeca,40.744016,-74.064917,Private room,88,2,47,2024-07-20,32.79,1,337
71,Entire home/apt in Lower East Side,1027,Michelle,Manhattan,Lower East Side,40.742034,-74.042702,Entire home/apt,258,1,1,2024-08-30,1.0,1,347
72,Hotel room in Upper East Side,1028,Brian,Manhattan,Upper East Side,40.731584,-74.008057,Hotel room,130,1,22,2024-08-29,22.0,1,106
73,Private room in Chelsea,1029,Dorothy,Manhattan,Chelsea,40.779824,-73.958971,Private room,107,14,19,2024-07-24,14.62,1,341
74,Entire home/apt in Greenwich Village,1030,Samantha,Manhattan,Greenwich Village,40.732121,-73.963682,Entire home/apt,334,1,21,2024-08-30,21.0,1,106
75,Entire home/apt in Battery Park,1031,Ryan,Manhattan,Battery Park,40.740559,-74.020451,Entire home/apt,262,3,0,,0.0,1,312
76,Private room in Chelsea,1032,Matthew,Manhattan,Chelsea,40.749927,-74.022169,Private room,156,2,9,2024-08-04,9.0,1,120
77,Entire home/apt in Battery Park,1033,John,Manhattan,Battery Park,40.766981,-74.053839,Entire home/apt,386,7,7,2024-07-20,4.88,1,255
78,Private room in Battery Park,1034,Donald,Manhattan,Battery Park,40.790472,-73.98769,Private room,132,3,8,2024-08-26,8.0,1,341
79,Entire home/apt in Upper West Side,1035,Brenda,Manhattan,Upper West Side,40.754135,-73.989258,Entire home/apt,343,2,11,2024-08-23,11.0,1,71
80,Entire home/apt in Midtown,1036,Christopher,Manhattan,Midtown,40.701894,-74.006462,Entire home/apt,337,1,6,2024-07-25,4.74,2,47
81,Private room in SoHo,1036,Christopher,Manhattan,SoHo,40.732867,-73.997505,Private room,83,1,9,2024-08-31,9.0,2,219
82,Entire home/apt in Battery Park,1037,Carol,Manhattan,Battery Park,40.765255,-73.998157,Entire home/apt,15,1,28,2024-06-28,12.92,1,90
83,Entire home/apt in Upper East Side,1038,Amy,Manhattan,Upper East Side,40.80415,-74.022298,Entire home/apt,322,2,3,2024-05-28,0.94,1,17
84,Private room in Chelsea,1039,Kevin,Manhattan,Chelsea,40.773931,-73.978581,Private room,17,2,67,2024-08-18,67.0,3,146
85,Entire home/apt in Harlem,1039,Kevin,Manhattan,Harlem,40.735173,-74.011026,Entire home/apt,109,1,35,2024-08-27,35.0,3,339
86,Private room in Greenwich Village,1039,Kevin,Manhattan,Greenwich Village,40.775558,-73.961668,Private room,80,30,2,2024-07-31,1.88,3,123
87,Private room in Upper East Side,1040,James,Manhattan,Upper East Side,40.751179,-74.007925,Private room,140,14,5,2024-08-26,5.0,1,178
88,Entire home/apt in Upper East Side,1041,Jacob,Manhattan,Upper East Side,40.773443,-74.028804,Entire home/apt,28,1,36,2024-08-20,36.0,1,198
89,Private room in Chelsea,1042,Steven,Manhattan,Chelsea,40.800782,-73.976322,Private room,90,1,15,2024-08-02,15.0,1,225
90,Entire home/apt in Lower East Side,1043,Ryan,Manhattan,Lower East Side,40.760105,-73.951235,Entire home/apt,294,5,2,2024-06-20,0.82,1,250
91,Entire home/apt in Chelsea,1044,Nicholas,Manhattan,Chelsea,40.754554,-73.949094,Entire home/apt,329,5,9,2024-08-26,9.0,1,1
92,Entire home/apt in Harlem,1045,James,Manhattan,Harlem,40.760762,-73.956087,Entire home/apt,239,1,8,2024-08-05,8.0,2,158
93,Private room in Upper West Side,1045,James,Manhattan,Upper West Side,40.784544,-74.00706,Private room,106,1,1,2024-08-20,1.0,2,49
94,Private room in Lower East Side,1046,Laura,Manhattan,Lower East Side,40.782992,-73.967391,Private room,100,1,2,2024-04-22,0.45,1,116
95,Entire home/apt in Battery Park,1047,Rachel,Manhattan,Battery Park,40.750343,-73.972758,Entire home/apt,353,1,8,2024-08-08,8.0,8,293
96,Entire home/apt in Chelsea,1047,Rachel,Manhattan,Chelsea,40.805211,-74.03276,Entire home/apt,269,2,1,2024-05-18,0.28,8,254
97,Entire home/apt in Harlem,1047,Rachel,Manhattan,Harlem,40.742102,-73.991943,Entire home/apt,246,1,20,2024-08-05,20.0,8,306
98,Entire home/apt in Upper West Side,1047,Rachel,Manhattan,Upper West Side,40.767308,-74.022294,Entire home/apt,222,2,5,2024-07-31,4.69,8,361
99,Entire home/apt in Greenwich Village,1047,Rachel,Manhattan,Greenwich Village,40.704771,-74.000657,Entire home/apt,284,1,28,2024-06-05,9.55,8,17
100,Private room in Tribeca,1047,Rachel,Manhattan,Tribeca,40.750692,-73.988162,Private room,137,3,14,2024-08-18,14.0,8,101
101,Private room in Greenwich Village,1047,Rachel,Manhattan,Greenwich Village,40.780922,-74.057079,Private room,132,30,1,2024-07-23,0.75,8,255
102,Private room in Greenwich Village,1047,Rachel,Manhattan,Greenwich Village,40.716556,-74.01075,Private room,141,3,28,2024-08-07,28.0,8,175
103,Entire home/apt in SoHo,1048,Anthony,Manhattan,SoHo,40.756677,-73.993206,Entire home/apt,165,2,12,2024-07-08,6.55,1,234
104,Private room in Greenwich Village,1049,Jennifer,Manhattan,Greenwich Village,40.765692,-73.943066,Private room,104,3,16,2024-07-30,14.55,1,169
105,Private room in Tribeca,1050,Andrew,Manhattan,Tribeca,40.785189,-73.965474,Private room,94,2,30,2024-08-14,30.0,1,279
106,Private room in Harlem,1051,Kenneth,Manhattan,Harlem,40.784611,-73.985645,Private room,181,1,5,2024-07-23,3.75,1,114
107,Entire home/apt in Midtown,1052,Sarah,Manhattan,Midtown,40.805258,-74.02584,Entire home/apt,111,2,0,,0.0,1,141
108,Hotel room in Battery Park,1053,Mark,Manhattan,Battery Park,40.71028,-73.963489,Hotel room,370,7,0,,0.0,3,285
109,Entire home/apt in Battery Park,1053,Mark,Manhattan,Battery Park,40.761588,-73.998556,Entire home/apt,165,5,4,2024-08-29,4.0,3,162
110,Private room in Greenwich Village,1053,Mark,Manhattan,Greenwich Village,40.784397,-73.99698,Private room,173,2,21,2024-06-05,7.16,3,7
111,Entire home/apt in Upper West Side,1054,Matthew,Manhattan,Upper West Side,40.726903,-73.955874,Entire home/apt,335,3,12,2024-08-29,12.0,3,232
112,Entire home/apt in Lower East Side,1054,Matthew,Manhattan,Lower East Side,40.740455,-73.962553,Entire home/apt,295,14,12,2024-08-25,12.0,3,212
113,Entire home/apt in Midtown,1054,Matthew,Manhattan,Midtown,40.758969,-73.97016,Entire home/apt,399,5,5,2024-08-29,5.0,3,131
114,Entire home/apt in SoHo,1055,Brian,Manhattan,SoHo,40.735849,-73.943268,Entire home/apt,159,1,13,2024-04-01,2.55,2,235
115,Entire home/apt in Midtown,1055,Brian,Manhattan,Midtown,40.786849,-73.988116,Entire home/apt,281,3,25,2024-08-19,25.0,2,6
116,Entire home/apt in Battery Park,1056,Kimberly,Manhattan,Battery Park,40.734939,-73.924842,Entire home/apt,126,1,3,2024-03-18,0.54,1,207
117,Entire home/apt in Chelsea,1057,James,Manhattan,Chelsea,40.764861,-73.972186,Entire home/apt,79,1,22,2024-07-26,17.84,1,164
118,Entire home/apt in Midtown,1058,Donald,Manhattan,Midtown,40.771458,-73.991025,Entire home/apt,151,7,7,2024-08-24,7.0,2,1
119,Entire home/apt in Lower East Side,1058,Donald,Manhattan,Lower East Side,40.756449,-74.013218,Entire home/apt,280,5,10,2024-08-21,10.0,2,251
120,Entire home/apt in Lower East Side,1059,Steven,Manhattan,Lower East Side,40.758124,-73.999336,Entire home/apt,262,1,11,2024-08-20,11.0,1,269
121,Private room in Greenwich Village,1060,Stephanie,Manhattan,Greenwich Village,40.729981,-73.991244,Private room,93,30,52,2024-08-05,52.0,1,113
122,Entire home/apt in Upper West Side,1061,Angela,Manhattan,Upper West Side,40.744546,-73.949652,Entire home/apt,136,14,59,2024-08-26,59.0,1,73
123,Private room in Midtown,1062,Donald,Manhattan,Midtown,40.731553,-74.013824,Private room,40,5,23,2024-08-05,23.0,8,354
124,Private room in Tribeca,1062,Donald,Manhattan,Tribeca,40.766728,-73.996395,Private room,174,1,55,2024-05-19,15.71,8,183
125,Private room in Battery Park,1062,Donald,Manhattan,Battery Park,40.796328,-73.988574,Private room,85,3,6,2024-08-09,6.0,8,176
126,Entire home/apt in Upper West Side,1062,Donald,Manhattan,Upper West Side,40.76197,-73.961593,Entire home/apt,267,2,10,2024-08-26,10.0,8,79
127,Entire home/apt in Upper West Side,1062,Donald,Manhattan,Upper West Side,40.780349,-73.984173,Entire home/apt,265,2,20,2024-08-11,20.0,8,223
128,Entire home/apt in Greenwich Village,1062,Donald,Manhattan,Greenwich Village,40.758674,-73.963624,Entire home/apt,217,5,25,2024-08-10,25.0,8,245
129,Hotel room in Lower East Side,1062,Donald,Manhattan,Lower East Side,40.780932,-74.025138,Hotel room,234,2,10,2024-07-13,6.0,8,237
130,Private room in SoHo,1062,Donald,Manhattan,SoHo,40.809315,-74.001454,Private room,144,1,21,2024-08-31,21.0,8,333
131,Private room in Tribeca,1063,David,Manhattan,Tribeca,40.758899,-73.979503,Private room,149,1,4,2024-06-02,1.32,1,321
132,Private room in Harlem,1064,Lauren,Manhattan,Harlem,40.74796,-73.978374,Private room,101,1,28,2024-08-01,27.1,1,254
133,Entire home/apt in Greenwich Village,1065,Amanda,Manhattan,Greenwich Village,40.752433,-73.989216,Entire home/apt,289,3,23,2024-02-13,3.43,1,288
134,Entire home/apt in Upper West Side,1066,Matthew,Manhattan,Upper West Side,40.736057,-74.004967,Entire home/apt,395,1,4,2024-03-17,0.71,1,90
135,Entire home/apt in Chelsea,1067,Jacob,Manhattan,Chelsea,40.754918,-73.99294,Entire home/apt,81,14,40,2024-08-24,40.0,1,264
136,Entire home/apt in Chelsea,1068,Ashley,Manhattan,Chelsea,40.759881,-73.964664,Entire home/apt,103,3,50,2024-08-22,50.0,1,152
137,Entire home/apt in Upper West Side,1069,Gary,Manhattan,Upper West Side,40.753322,-74.015031,Entire home/apt,295,1,1,2024-08-28,1.0,1,143
138,Entire home/apt in Battery Park,1070,Michelle,Manhattan,Battery Park,40.729014,-73.958635,Entire home/apt,283,2,12,2024-06-19,4.86,5,248
139,Private room in Lower East Side,1070,Michelle,Manhattan,Lower East Side,40.758328,-74.001074,Private room,127,1,13,2024-08-31,13.0,5,152
140,Private room in Tribeca,1070,Michelle,Manhattan,Tribeca,40.794564,-74.030976,Private room,91,1,8,2024-07-29,7.06,5,266
141,Entire home/apt in Chelsea,1070,Michelle,Manhattan,Chelsea,40.752167,-73.980958,Entire home/apt,371,1,0,,0.0,5,128
142,Entire home/apt in Greenwich Village,1070,Michelle,Manhattan,Greenwich Village,40.766711,-73.980555,Entire home/apt,321,3,2,2024-08-18,2.0,5,230
143,Entire home/apt in Lower East Side,1071,Rebecca,Manhattan,Lower East Side,40.743443,-74.029617,Entire home/apt,15,3,22,2024-08-02,22.0,1,335
144,Entire home/apt in Midtown,1072,Angela,Manhattan,Midtown,40.764341,-73.960677,Entire home/apt,251,1,5,2024-08-25,5.0,1,176
145,Private room in Chelsea,1073,Christopher,Manhattan,Chelsea,40.729456,-74.02625,Private room,141,1,27,2024-08-31,27.0,1,67
146,Entire home/apt in Upper East Side,1074,Christina,Manhattan,Upper East Side,40.776447,-73.987836,Entire home/apt,207,3,18,2024-08-27,18.0,2,160
147,Hotel room in Harlem,1074,Christina,Manhattan,Harlem,40.783002,-73.979035,Hotel room,305,3,5,2024-08-05,5.0,2,232
148,Entire home/apt in Greenwich Village,1075,Brenda,Manhattan,Greenwich Village,40.726612,-73.992414,Entire home/apt,330,1,19,2024-08-02,19.0,1,211
149,Entire home/apt in Tribeca,1076,Christopher,Manhattan,Tribeca,40.76159,-74.042552,Entire home/apt,449,30,1,2024-06-28,0.46,2,98
150,Private room in Chelsea,1076,Christopher,Manhattan,Chelsea,40.780279,-73.961617,Private room,117,1,61,2024-08-24,61.0,2,138
151,Private room in Tribeca,1077,Jennifer,Manhattan,Tribeca,40.797405,-74.008409,Private room,175,3,1,2024-06-11,0.37,3,142
152,Entire home/apt in SoHo,1077,Jennifer,Manhattan,SoHo,40.775165,-74.029845,Entire home/apt,124,2,38,2024-08-26,38.0,3,344
153,Entire home/apt in Tribeca,1077,Jennifer,Manhattan,Tribeca,40.752762,-73.991952,Entire home/apt,108,1,3,2024-08-11,3.0,3,69
154,Private room in SoHo,1078,Robert,Manhattan,SoHo,40.724063,-74.039676,Private room,75,2,2,2024-07-25,1.58,1,356
155,Entire home/apt in Battery Park,1079,Michael,Manhattan,Battery Park,40.730475,-73.992215,Entire home/apt,300,3,25,2024-08-25,25.0,1,33
156,Private room in Battery Park,1080,Ashley,Manhattan,Battery Park,40.784787,-74.03182,Private room,76,2,25,2024-08-19,25.0,1,45
157,Private room in Upper East Side,1081,Laura,Manhattan,Upper East Side,40.714462,-74.017158,Private room,124,3,28,2024-08-20,28.0,1,199
158,Entire home/apt in Chelsea,1082,Ryan,Manhattan,Chelsea,40.737313,-73.975259,Entire home/apt,386,1,2,2024-07-04,1.02,1,294
159,Entire home/apt in Lower East Side,1083,Dorothy,Manhattan,Lower East Side,40.75389,-73.975317,Entire home/apt,89,2,17,2024-08-13,17.0,2,314
160,Entire home/apt in Tribeca,1083,Dorothy,Manhattan,Tribeca,40.741955,-73.977473,Entire home/apt,379,7,2,2024-08-08,2.0,2,142
161,Entire home/apt in Greenwich Village,1084,Brittany,Manhattan,Greenwich Village,40.733015,-73.970629,Entire home/apt,477,1,1,2024-08-30,1.0,1,37
162,Entire home/apt in Battery Park,1085,James,Manhattan,Battery Park,40.781528,-73.993701,Entire home/apt,256,3,6,2024-08-11,6.0,1,220
163,Entire home/apt in Lower East Side,1086,Mark,Manhattan,Lower East Side,40.778348,-73.988752,Entire home/apt,213,1,9,2024-06-17,3.55,1,224
164,Entire home/apt in Harlem,1087,Melissa,Manhattan,Harlem,40.818364,-74.013005,Entire home/apt,362,1,11,2024-08-09,11.0,1,351
165,Entire home/apt in Upper West Side,1088,James,Manhattan,Upper West Side,40.756526,-73.989441,Entire home/apt,443,1,9,2024-07-23,6.75,2,87
166,Private room in Tribeca,1088,James,Manhattan,Tribeca,40.749633,-73.984654,Private room,119,14,17,2024-08-30,17.0,2,119
167,Private room in Harlem,1089,John,Manhattan,Harlem,40.784546,-73.969113,Private room,224,5,11,2024-05-03,2.73,1,316
168,Entire home/apt in Harlem,1090,Joshua,Manhattan,Harlem,40.760351,-73.962243,Entire home/apt,310,3,7,2024-07-14,4.29,1,315
169,Entire home/apt in Lower East Side,1091,Jason,Manhattan,Lower East Side,40.794271,-73.969311,Entire home/apt,370,2,5,2024-07-18,3.33,1,57
170,Private room in Harlem,1092,Sarah,Manhattan,Harlem,40.775028,-73.978319,Private room,102,2,0,,0.0,1,57
171,Entire home/apt in SoHo,1093,Samantha,Manhattan,SoHo,40.761468,-73.953855,Entire home/apt,184,7,9,2024-08-27,9.0,1,338
172,Private room in Harlem,1094,Kevin,Manhattan,Harlem,40.778749,-73.911492,Private room,223,2,3,2024-07-17,1.96,1,283
173,Private room in SoHo,1095,Amanda,Manhattan,SoHo,40.740616,-73.954127,Private room,155,1,4,2024-06-27,1.82,1,292
174,Hotel room in Midtown,1096,Steven,Manhattan,Midtown,40.750324,-73.985043,Hotel room,310,5,32,2024-08-28,32.0,1,58
175,Entire home/apt in Tribeca,1097,Anthony,Manhattan,Tribeca,40.72967,-73.95231,Entire home/apt,391,2,13,2024-08-08,13.0,1,151
176,Entire home/apt in Harlem,1098,Stephanie,Manhattan,Harlem,40.740261,-73.915076,Entire home/apt,424,14,5,2024-08-23,5.0,1,65
177,Entire home/apt in Greenwich Village,1099,Michelle,Manhattan,Greenwich Village,40.720149,-73.963687,Entire home/apt,287,1,30,2024-08-30,30.0,1,161
178,Private room in Upper West Side,1100,David,Manhattan,Upper West Side,40.716047,-73.935863,Private room,117,1,25,2024-05-30,7.98,1,286
179,Entire home/apt in Chelsea,1101,Melissa,Manhattan,Chelsea,40.797279,-73.99538,Entire home/apt,355,3,21,2024-08-24,21.0,1,286
180,Entire home/apt in Upper East Side,1102,Matthew,Manhattan,Upper East Side,40.750829,-73.970652,Entire home/apt,127,1,2,2024-07-29,1.76,1,179
181,Entire home/apt in Battery Park,1103,Rebecca,Manhattan,Battery Park,40.761265,-73.967078,Entire home/apt,354,7,32,2024-07-15,20.0,1,281
182,Entire home/apt in Upper West Side,1104,Elizabeth,Manhattan,Upper West Side,40.769877,-73.991742,Entire home/apt,93,5,129,2024-08-13,129.0,60,27
183,Entire home/apt in Harlem,1104,Elizabeth,Manhattan,Harlem,40.774308,-74.022402,Entire home/apt,188,14,31,2024-08-21,31.0,60,283
184,Private room in Upper East Side,1104,Elizabeth,Manhattan,Upper East Side,40.757388,-73.97752,Private room,155,1,27,2024-08-27,27.0,60,116
185,Entire home/apt in Harlem,1104,Elizabeth,Manhattan,Harlem,40.744215,-73.942245,Entire home/apt,129,1,4,2024-08-27,4.0,60,74
186,Entire home/apt in Chelsea,1104,Elizabeth,Manhattan,Chelsea,40.730792,-73.969503,Entire home/apt,431,1,0,,0.0,60,116
187,Entire home/apt in Tribeca,1104,Elizabeth,Manhattan,Tribeca,40.812497,-73.965639,Entire home/apt,363,1,53,2024-08-25,53.0,60,110
188,Private room in Battery Park,1104,Elizabeth,Manhattan,Battery Park,40.744994,-73.985707,Private room,144,1,0,,0.0,60,303
